"","suminc_before_application","default_option","quarter_ofyear","children","years_education","totweeksbenefits26","totincome26","age","benefits_wk13","location","female","partner","totweekswage26","benefits_wk26","searchperiod"
"1028",13.319501,"normal",1,1,10,26,0,31,1,"Zuidoost",1,0,0,1,0
"1029",1.61730999,"normal",4,0,13,26,5392.2212,28,1,"Zuidoost",0,0,0,1,0
"1030",1,"normal",4,0,15,0,0,35,0,"Zuidoost",0,0,0,0,0
"1031",10.00036,"never",4,1,10,26,5718.5259,41,1,"Zuidoost",1,1,26,1,0
"1032",5.9521666,"normal",4,0,13,26,5367.7813,46,1,"Zuidoost",1,0,0,1,0
"1033",34.85445,"normal",4,0,13,26,5814.2266,28,1,"Zuidoost",1,0,1,1,0
"1034",41.06213,"never",2,0,10,0,0,30,0,"Zuidoost",0,0,0,0,0
"1035",1,"normal",3,0,11.5,26,6173.7314,50,1,"Zuidoost",1,0,0,1,0
"1036",1,"normal",4,0,6,18,3266.7341,51,1,"Zuidoost",0,0,0,0,0
"1037",16.919974,"normal",4,0,16.5,15,3832.877,35,1,"Zuidoost",0,0,16,0,0
"1039",45.644497,"normal",1,0,13,12,1747.5703,32,0,"Zuidoost",0,0,0,0,0
"1040",39.663921,"normal",4,0,11.5,26,5541.3047,36,1,"Zuidoost",0,0,6,1,0
"1041",2.5291599,"normal",4,0,11.5,0,1215.5699,30,0,"Zuidoost",0,0,5,0,0
"1044",34.338203,"normal",1,0,NA,0,133.89659,37,0,"Zuid/West",0,1,26,0,1
"1045",47.480255,"normal",4,0,15,23,5661.4155,44,1,"Zuid/West",1,0,0,1,1
"1046",47.778629,"normal",4,0,13,13,8903.4668,39,1,"Zuid/West",0,0,15,0,1
"1047",16.753635,"normal",2,0,13,26,6725.2471,47,1,"Centrum/Oost",0,0,7,1,0
"1048",49.477589,"normal",1,1,13,26,6429.2612,46,1,"Centrum/Oost",1,0,0,1,0
"1049",11.490875,"normal",3,0,13,26,4799.9824,28,1,"Centrum/Oost",1,0,26,1,0
"1051",31.426985,"normal",1,1,10,26,0,35,1,"Centrum/Oost",1,0,0,1,0
"1052",34.892448,"normal",2,0,13,26,5442.1201,42,1,"Centrum/Oost",0,0,0,1,0
"1053",10.2050638,"normal",1,0,11.5,26,0,57,1,"Centrum/Oost",1,0,0,1,0
"1054",54.359837,"normal",2,0,16.5,26,5393.8457,38,1,"Centrum/Oost",0,0,0,1,0
"1055",34.966869,"normal",1,0,10,26,6673.6948,47,1,"Centrum/Oost",0,0,3,1,1
"1056",44.565239,"normal",3,0,13,0,9384.0244,33,0,"Centrum/Oost",1,1,0,0,0
"1057",28.535429,"normal",1,0,6,26,3152.3684,35,1,"Centrum/Oost",0,0,8,1,0
"1058",24.336748,"normal",3,0,13,0,2038.6665,30,0,"Centrum/Oost",1,0,26,0,0
"1059",1,"normal",1,0,15,26,5958.6074,45,1,"Centrum/Oost",0,0,0,1,0
"1060",27.564571,"normal",2,0,10,26,5691.3135,49,1,"Centrum/Oost",0,0,0,1,0
"1061",29.041039,"normal",1,0,16.5,0,10461.755,28,0,"Centrum/Oost",1,0,22,0,1
"1062",4.9669919,"normal",1,0,10,0,0,45,0,"Centrum/Oost",0,0,0,0,1
"1063",24.1854,"normal",1,0,16.5,6,7105.5083,31,0,"Centrum/Oost",0,0,22,0,1
"1064",2.9382225,"normal",1,0,13,26,1084.3136,32,1,"Centrum/Oost",1,1,0,1,0
"1065",27.64312,"normal",4,0,15,8,6663.3979,31,0,"Centrum/Oost",0,0,19,0,1
"1066",1,"normal",2,0,16.5,26,5600.1069,58,1,"Centrum/Oost",0,0,5,1,0
"1067",29.306185,"normal",1,0,13,25,9781.8037,41,1,"Centrum/Oost",1,0,26,0,0
"1068",18.731415,"normal",1,1,10,26,6740.6094,36,1,"Centrum/Oost",0,1,19,1,0
"1069",23.176374,"normal",3,0,13,0,2810.1021,36,0,"Centrum/Oost",0,0,26,0,1
"1070",21.201443,"normal",1,0,15,0,11228.691,28,0,"Centrum/Oost",0,0,23,0,1
"1071",12.984823,"normal",1,0,11.5,26,5438.9629,57,1,"Centrum/Oost",1,0,0,1,0
"1072",37.925774,"normal",2,0,15,8,7921.1265,30,0,"Centrum/Oost",1,0,14,1,0
"1073",13.780386,"normal",1,0,16.5,26,4678.7349,31,1,"Centrum/Oost",0,0,0,1,0
"1074",49.714272,"normal",2,0,11.5,0,7962.5103,58,0,"Centrum/Oost",0,0,26,0,0
"1075",49.108158,"normal",2,1,13,23,11976.953,46,1,"Centrum/Oost",1,0,21,1,0
"1076",47.914772,"normal",2,0,15,26,4757.1372,41,1,"Centrum/Oost",0,0,0,1,0
"1077",25.094322,"normal",1,0,6,26,4746.0796,30,1,"Centrum/Oost",0,0,0,1,0
"1078",6.1989107,"normal",3,0,16.5,9,2059.4797,39,0,"Centrum/Oost",1,0,0,0,0
"1079",23.73481,"normal",2,0,13,0,6911.999,33,0,"Centrum/Oost",0,0,26,0,1
"1080",31.296885,"normal",3,0,16.5,26,8837.3428,37,1,"Centrum/Oost",1,0,26,1,0
