state,time,accident,year,pop,rgastax,permale,unemp,txmsban,treated
4,14,77,2008,6500180,.0017667095,.50135249,4.5,0,0
4,15,82,2008,6500180,.0017515268,.50135249,4.5999999,0,0
4,16,78,2008,6500180,.0017409682,.50135249,4.9000001,0,0
4,17,78,2008,6500180,.0017264301,.50135249,5.1999998,0,0
4,18,61,2008,6500180,.0017092065,.50135249,5.6999998,0,0
4,19,76,2008,6500180,.0017002783,.50135249,6,0,0
4,20,69,2008,6500180,.0017070923,.50135249,6.4000001,0,0
4,21,82,2008,6500180,.0017094564,.50135249,6.6999998,0,0
4,22,65,2008,6500180,.0017269005,.50135249,7.0999999,0,0
4,23,64,2008,6500180,.0017606214,.50135249,7.4000001,0,0
4,24,49,2008,6500180,.001779021,.50135249,7.8000002,0,0
4,25,53,2009,6595778,.0017713114,.50135726,8.1999998,0,0
4,26,58,2009,6595778,.0017625465,.50135726,8.6000004,0,0
4,27,59,2009,6595778,.0017582708,.50135726,9,0,0
4,28,69,2009,6595778,.0017538924,.50135726,9.3000002,0,0
4,29,63,2009,6595778,.0017488403,.50135726,9.6000004,0,0
4,30,65,2009,6595778,.001733946,.50135726,9.8000002,0,0
4,31,57,2009,6595778,.0017366997,.50135726,10,0,0
4,32,54,2009,6595778,.0017328132,.50135726,10.2,0,0
4,33,56,2009,6595778,.0017317301,.50135726,10.3,0,0
4,34,54,2009,6595778,.0017300638,.50135726,10.3,0,0
4,35,61,2009,6595778,.0017288403,.50135726,10.4,0,0
4,36,60,2009,6595778,.0017318904,.50135726,10.4,0,0
4,37,51,2010,6413737,.001725992,.49700001,10.3,0,0
4,38,52,2010,6413737,.0017255619,.49700001,10.2,0,0
4,39,59,2010,6413737,.0017185053,.49700001,10.1,0,0
4,40,59,2010,6413737,.0017155255,.49700001,10.1,0,0
4,41,73,2010,6413737,.0017141968,.49700001,10,0,0
4,42,43,2010,6413737,.0017158719,.49700001,10,0,0
4,43,60,2010,6413737,.0017155098,.49700001,9.8999996,0,0
4,44,62,2010,6413737,.0017131446,.49700001,9.8999996,0,0
4,45,58,2010,6413737,.0017121485,.49700001,9.8000002,0,0
4,46,58,2010,6413737,.0017100192,.49700001,9.8000002,0,0
4,47,64,2010,6413737,.0017093002,.49700001,9.6000004,0,0
4,48,59,2010,6413737,.0017063679,.49700001,9.6000004,0,0
5,1,51,2007,2834797,.001971188,.48976144,5.1999998,0,1
5,2,35,2007,2834797,.0019606976,.48976144,5.0999999,0,1
5,3,51,2007,2834797,.0019430051,.48976144,5.1999998,0,1
5,4,35,2007,2834797,.0019304645,.48976144,5.1999998,0,1
5,5,47,2007,2834797,.0019187396,.48976144,5.1999998,0,1
5,6,53,2007,2834797,.0019150283,.48976144,5.3000002,0,1
5,7,61,2007,2834797,.0019155156,.48976144,5.3000002,0,1
5,8,48,2007,2834797,.0019190349,.48976144,5.4000001,0,1
5,9,56,2007,2834797,.0019137608,.48976144,5.3000002,0,1
5,10,66,2007,2834797,.0019096755,.48976144,5.3000002,0,1
5,11,42,2007,2834797,.0018983999,.48976144,5.1999998,0,1
5,12,38,2007,2834797,.0018996743,.48976144,5.0999999,0,1
5,13,41,2008,2855390,.0019044912,.48973173,5,0,1
5,14,39,2008,2855390,.0018989765,.48973173,4.9000001,0,1
5,15,33,2008,2855390,.0018826572,.48973173,4.8000002,0,1
5,16,45,2008,2855390,.0018713081,.48973173,4.8000002,0,1
5,17,53,2008,2855390,.0018556815,.48973173,4.9000001,0,1
5,18,64,2008,2855390,.0018371684,.48973173,5.0999999,0,1
5,19,47,2008,2855390,.0018275718,.48973173,5.1999998,0,1
5,20,50,2008,2855390,.0018348959,.48973173,5.4000001,0,1
5,21,42,2008,2855390,.0018374372,.48973173,5.5,0,1
5,22,54,2008,2855390,.0018561871,.48973173,5.8000002,0,1
5,23,43,2008,2855390,.0018924327,.48973173,6,0,1
5,24,41,2008,2855390,.0019122097,.48973173,6.3000002,0,1
5,25,39,2009,2889450,.0019039229,.48988563,6.5999999,0,1
5,26,39,2009,2889450,.0018945019,.48988563,6.8000002,0,1
5,27,41,2009,2889450,.001889906,.48988563,7.0999999,0,1
5,28,43,2009,2889450,.0018851998,.48988563,7.1999998,0,1
5,29,35,2009,2889450,.0018797696,.48988563,7.3000002,0,1
